Article;title;Title;
6495645;Sony   70-300mm f/4.5-5.6G Telephoto Zoom Lens;Sony 70-300mm f/4.5-5.6G Telephoto Zoom Lens;"Product Overview

This lens spans the focal range to offer standard photography all the way to telephoto zoom capability. It is made by Sony, and it works with their Alpha & Minolta digital cameras. It offers a variety of settings to capture the sharpness you desire at any level of zoom. Better yet, it shifts between these settings automatically without any distraction. One thing this lens does not have is ability to stabilize images, because the cameras it attaches to already have it built in them. This keeps the lens weightless. The lens is able to take crisp, colorful images due to the type of glass elements it uses.

Highlights
<ul>
<li>Telephoto zoom lens</li>
<li>Works with Alpha & Minolta cameras</li>
<li>Unnoticeable automatic focusing</li>
<li>Made with extra low dispersion glass</li>
</ul>"
6495673;Sony   16-35mm f/2.8 Carl Zeiss T* Wide-Angle Zoom Lens;Sony 16-35mm f/2.8 Carl Zeiss T* Wide-Angle Zoom Lens;"Product Overview

This wide angle zoom lens works with Sony Alpha & Minolta Maxxum digital single lens reflex cameras. The focal length range is 16-35mm, which make it perfect for landscape photography. The aperture range is f/2.8-22. This is a wide range that covers a variety of shutter speeds to capture different levels of light. It employs T* coating to reduce flare, and create greater contrast in the images it produces. Other aberrations are minimized through its extra low dispersion and aspheric glass. It is also able to limit the effect of hand movement through its image stabilization feature. Additionally, the focus system is automatic, where adjustments are made quickly and quietly. Further, the change to manual focus can be done at the switch of a button.

Highlights

<ul>
<li>Wide Angle Zoom Lens</li>
<li>Compatible with Sony Alpha & Minolta Maxxum digital single lens reflex cameras</li>
<li>Focal length range is 16-35mm</li>
<li>Aperture range is f/2.8-22</li>
<li>Aberrations are corrected using extra low dispersion and aspheric glass</li>
<li>T* coating reduces flare and reflections</li>
<li>Auto focus system is internal</li>
</ul>"
6495677;Sony   70-400mm f/4-5.6 G Alpha A-Mount Telephoto Zoom Lens;Sony 70-400mm f/4-5.6 G Alpha A-Mount Telephoto Zoom Lens;"Overview

Designed to deliver sharp exact performance along a broad focal range, the Sony 70-400mm f/4.56 G Alpha A Mount Zooming Telephoto Lens is perfect for mounting to Sony's APS-C format of DSLR cameras. Additionally, the when the lens is attached to a Sony digital SLR the lens' focal length increases to the 35mm equal of the 105-600mm telelphoto lens. Additionally, the aperture can vary from f/2.8 to f/32 depepnding on how long the focus is. This lens designed to work with tleconverters and includes in manufacturing two extra low dispersion glass elements for improved color quality

This lens features a high-speed focus motor for enhanced speed and efficiency, three focus buttons for improved operation, and when used with certain cameras (e.g. the Alpha 900 or Minolta Maxxum SLR cameras) the auto focus buttons are used to activate features like smart preview.  



Product Highlights
 
• Zooming Telephoto Lens
• Variable f/2.8-f/32 Aperture
• Compatible With Certain DSLR cameras.
• 2 ED Elements For Improved Quality 
• Special SSM for fast quiet automatic focusing
• Focus Distance of 3.9’ For Up-Close Photos
• Sony 1.4x and 2.0x Teleconverter Compatible 
• (DxL):  3.72 x 7.72”, 3.31 lb. filter thread of 77 mm
• Focus Range Switch For Quick Focus"
6495709;Sony   50mm f/1.8 DT Alpha A-Mount Standard Prime Lens;Sony 50mm f/1.8 DT Alpha A-Mount Standard Prime Lens;"Product Overview

The Sony Alpha A-Mount Standard Zoom Prime lens is a great accessory for Alpha & Minolta digital single lens reflex cameras. The focal length range is 50mm, which makes it great for street and documentary shots. The aperture range is f/1.8-22, which is able to capture a lot of light to create sharp, bright images. It is designed with extra low dispersion glass to minimize aberrations and distortions. Additionally, the focus system is automatic, making adjustments quickly and quietly. This aids in capturing high quality images that are sharp and high in contrast. This lens is the perfect aid for digital single lens reflex cameras.

Highlights

<ul>
<li>Standard zoom lens</li>
<li>Compatible with Alpha & Minolta digital single lens reflex cameras</li>
<li>The focal length is 50mm</li>
<li>The aperture range is f/1.8-22</li>
<li>Extra low dispersion glass minimizes aberrations</li>
<li>Uses an automatic internal focus system</li>
</ul>"
6495729;Sony   35mm f/1.8 DT Alpha A-Mount Standard Prime Lens;Sony 35mm f/1.8 DT Alpha A-Mount Standard Prime Lens;"Product Overview

This Sony Alpha A-Mount standard prime lens is perfect with Alpha & Minolta digital single lens reflex cameras. The focal length is 35mm, which make it ideal for capturing vast landscapes and normal shots. The aperture range is large at f/1.8. This means the shutters work fast in low light settings. Plus, it allows for the blurring of the background to highlight the subject of the image. The minimum focus distance is a little over 9""; allowing you to get very close to the subject. Additionally, focusing is done automatically. Transitions are made smoothly as quick as possible. Then, there is a switch that can allow you to adjust the focus manually.

Highlights
<ul>
<li>Standard zoom lens</li>
<li>Focal length is 35mm</li>
<li>Aperture range is f/1.8</li>
<li>Switch between automatic and manual focus</li>
</ul>"
6495733;Sony   85mm f/2.8 Alpha A-Mount Standard Prime Lens;Sony 85mm f/2.8 Alpha A-Mount Standard Prime Len;"The Sony 85mm f/2.8 Lens is one of Sony’s best budget prime lenses, which epitomizes Sony’s unique Smooth Autofocus Motor (SAM) technology. The smooth and extremely quick autofocus capabilities of SAM, allow you to take beautiful photos from a short distance. The wide-open aperture combined with its speed and 85mm focal length, encourages eye-catching defocusing background effects hard to find elsewhere within this price range. Not to mention you can switch between manual and autofocus with the click of a button.  

Highlights
•	85mm focal length, comparable 127.5mm, makes it easy to fill the frame without distortion
•	Fast f/2.8 wide open aperture allows for defocused backdrops with a range up to 22
•	Optimized for Sony Alpha cameras - DT Alpha & Minolta DSLRs
•	Unique Smooth Autofocus Motor (SAM) allows for smooth autofocusing
•	Minimum Focus Distance: 2.0'
•	The smoothest 7x Circular Aperture Blades allow for smooth defocusing effects
•	Non-rotating 55mm Filter Diameter allows for use of polarizing filters
•	Precise focus control with the Focus Mode Switch

Overview

127.5mm  APS-C Focal Length
The 85mm focal length prevents distortion but still allows you to utilize the full frame from a comfortable distance.

Aperture Range: f/2.8-22
	The large aperture range has faster shutter speeds which allows for the nice contract with a defocused background.
	
DT Alpha & Minolta DSLRs
	Made with a Sony A-mount, compatible with many options.

Smooth Autofocus Motor (SAM)
	This unique Sony technology allows for very easy autofocusing. Sony’s built-in internal motor smoothly receives and implements the autofocus signals so you can effortlessly take focused images.

7x Circular Aperture Blades
	The aperture blades combined with the focal length allow the user to easily use defocusing techniques, some say are the best within this price range.

Filter Diameter: 55mm
	Can be utilized with a variety of rotating polarizing filters.

Focus Mode Switch
	Whether you are using auto or manual focusing, this lens will give you the best focus control from start to finish."
6495769;Sony   30mm f/3.5 Macro Lens for Alpha NEX Cameras;Sony 30mm f/3.5 Macro Lens for Alpha NEX Cameras;"Product Overview

This Sony Macros Lens for Alpha NEX cameras is a great accessory for taking stunning wide angle shots, with a focal length of 30mm. The images produces appear to be life size representations due to the 1:1 magnification. This magnification ratio makes it ideal for shooting close ups too. It also has an aperture range of f/3.5. It uses aspherical, extra low dispersion glass to mitigate the effects of chromatic aberrations and image distortions. Additionally, the glass is coated with multiple layers to prevent internal reflections. The end result are images with great color and sharp details. Plus, this lens can be used for shooting movies, and all the focusing is done can easily be switched between manual and automatic settings.

Highlights
<ul>
<li>Macro lens</li>
<li>Compatible with Alpha NEX cameras</li>
<li>Focal length of 30mm</li>
<li>1:1 magnification</li>
<li>Aperture size of f/3.5</li>
<li>Easy switch between manual and automatic focus</li>
</ul>"
6495773;Sony   SEL55210 55-210mm f/4.5-6.3 Lens;Sony SEL55210 55-210mm f/4.5-6.3 Lens;"Product Overview

This Sony SEL55210 telephoto zoom lens is the ideal companion for all purpose photography. It is great for capturing close up shots, or even wide angle shots. The focal length ranges from 55mm to 210mm. It features an internal focus system that you will not notice, because it is quiet and it works fast. This is perfect for when you are using it to capture video too. It also features image stabilization to help keep the images sharp. More enhancement of the photos is done through the use of two pieces of extra low dispersion glass that minimizes chromatic aberrations throughout the whole zoom range. 

Highlights
<ul>
<li>Telephoto zoom lens</li>
<li>Works for close ups and wide angle shots</li>
<li>Focal length of 55m-210mm</li>
<li>Auto focus system is internal</li>
<li>Uses 2 elements of extra low dispersion glass</li>
</ul>"
6495805;Sony   300mm F/2.8G II Telephoto Prime Lens;Sony 300mm F/2.8G II Telephoto Prime Lens;"Product Overview

This lens has the capability to get you up close shots of subjects that are out in the distance. Its small depth of field helps to shine a light on your subject, while keeping everything else out of focus. The quality that comes with this telephoto prime lens is really high quality. So much so that it uses the best components to reduce flare in images. The high quality glass it uses also contribute to producing a very detailed image without the aberrations you would find produced form a lower quality lens. The glass parts feature extra low dispersion parts and are coated to create great looking close up shots. Another perk is how it is designed to keep water and other elements from getting in. 

Highlights
<ul>
<li>Telephoto prime lens</li>
<li>300mm focal length</li>
<li>Glass is coated and consists of extra low dispersion parts</li>
</ul>"
6495921;Sony   16-50mm f/2.8 DT Standard Zoom Lens;Sony 16-50mm f/2.8 DT Standard Zoom Lens;"Product Overview

With several parts of aspherical and extra low dispersion glass being used, this lens is constructed to deliver images without abnormal marks obstructing their quality. This standard zoom lens is made by Sony, and it is for their digital Alpha & Minolta cameras. It has the capability to shoot wide angle photos, and it can zoom in and out automatically.  The opening of the lens is large and remains invariable at every point in the zoom range; this designates the lens as a perfect choice to be used by professional photographers who want as much light as possible when doing close up shots. 

Highlights
<ul>
<li>Standard Zoom lens</li>
<li>Made for Sony Alpha & Minolta digital cameras</li>
<li>Large, invariable aperture</li>
<li>Made with several parts of aspherical and extra low dispersion glass</li>
</ul>"
6495925;Sony   18-200mm f/3.5-6.3 OSS Lens for NEX Cameras;Sony 18-200mm f/3.5-6.3 OSS Lens for NEX Cameras;"The 18-200mm f/3.5-6.3 OSS Lens that is compatible with NEX Sony Cameras is comparably smaller and lightweight compared to other lenses. Additionally it has a strong magnification zoom lens which is excellent for an array of shooting situations with Sony's NEX mirrorless cameras or handycam camcorders. In a smaller compact size, which is achieved partly by sizing down the motors that control auto-focusing and optical imagery. The lens offers a potent mixture of a quality imagery and versatility. This is great for shooting where a lightweight camera and small compact lens is very much a need.  

With the range of focal measurements that a lens will cover, from 18 millimeter wide angle to 200 millimeter telephoto, it's additionally an ideal powerful high powered magnification ""travel"" lens. Along with it, you can capture large landscapes, beautiful scenic portraits and sports or nature shots. Optical SteadyShot technology assists in this regard by reducing the blur that is generated by an unsteady camera.

18-200 millimeter Long 11x Zoom Features

This amazing lens has the capability to shoot up to 200 millimeters in coverage. It's great for taking images of subjects that require attention to detail which the lens will follow. If a gorgeous panoramic landscape scene is what the photographer wishes to capture with this 35 millimeter lens. Scenes that require a lot of action use the telephoto feature which is used for athletic or racing scenes. This telephoto feature can also be used for outside natural settings. 

High Imagery Performance

The lens comes with 2 Extra-low Dispersion glass and 4 aspherical components, which include the popular circular aperture which is included in most A-lenses, allowing backgrounds to have perfectly round, defocused bokey effects. 

Optical SteadyShot Stability

The lens includes Sony's Optical SteadyShot which makes up for any blur caused by the camera shake on any camera that it happens to be linked to. Additionally to decrease the blur for normal handheld photography, Optical SteadyShot is used when one wishes to shoot a low lit scene. 

Compatibility

All lens are made to work with all of the Sony Alpha camcorders.

Product Highlights
<ul>
<li>27 to 300 35 Millimeter Equivalent</li>
<li>Compatible with Sony Alpha NEX Cameras</li>
<li>Stable Optical SteadyShot </li>
<li>Quiet Autofocus features and Internal motor </li>
<li>Low Dispersement Single Glass Lens</li>
<li>Double Asphere Lens Feature</li>
<li>Circular Shaped Aperture Blades with 7x focal strength</li>
</ul>"
6495929;Sony   24-70mm f/2.8 Carl Zeiss T* Alpha A-Mount Standard Zoom Lens;Sony 24-70mm f/2.8 Carl Zeiss T* Alpha A-Mount Standard Zoom Lens;"Product Overview

This is a standard zoom lens that also is suitable for shooting wide angle images. Plus, you can use the maximum aperture of f/2.8 no matter what zoom settings you are using. However, the aperture can be adjusted to a setting of f/22. The lens is built with several parts of extra low dispersion glass, and it utilizes T* coating. These features make sure the contrast is high, and that light does not reflect in the lens to obstruct the image. Also, the lens is made by Sony, and it is meant for their digital Alpha & Minolta SLR cameras.

Highlights
<ul>
<li>Standard zoom lens</li>
<li>Meant for Sony Alpha & Minolta digital cameras</li>
<li>Variable aperture that can be maintained at the maximum setting</li>
<li>Made with extra low dispersion glass</li>
<li>T* coating minimizes the chance of light reflecting in the lens to produce a flare</li>
</ul>"
6495933;Sony   28-75mm f/2.8 Alpha A-Mount Standard Zoom Lens;Sony 28-75mm f/2.8 Alpha A-Mount Standard Zoom Lens;"<u><strong>Overview</strong></u>
The Sony 28-75mm f/2.8 Alpha A-Mount Standard Zoom Lens (SAL2875) is designed for the Sony Alpha and Minolta lines of Digital LSR cameras. The SAL2875 encompasses a broad assortment of focal lengths ranging in angles from wide to medium telephoto lenses designed for superb dilineation while maintaining a fixed aperture and focal ratio of 2.8 throughout the entire range. 

The SAL2875 lens consists of 16 elements divided into 14 groups. Four aspherical lens elements, three low dispersion elements, and 2 X-ray spectroscopy elements help deliver sharp, clear photos throughout the zoom range across many energy level spectrums. The minimum focusing distance of the SAL2875 is 16 inches, letting one snap clear, focused, concise shots up close, as well as a front-end filter diameter of 67mm to aid photography in environments with high amounts of radio frequency interferance. The SAL2875 weighs in at a relatively light 20 ounces, enabling photographers to shoot to their heart’s content.

<strong>7x Circular Aperture Blade Diaphragm</strong>
The diaphragm of rounded aperture blades produce smooth, circular backgrounds when capturing direct sources in your pictures. Background sources have a pleasing defocused effect in dimmed lighting, effectively displaying an effective depth of field.

<strong>Fixed Filter Diameter: 67mm</strong>
	The 67mm front filter thread is stationary, allowing use of rotating polarizing filters.

<strong>Zoom Lock Switch</strong>
	The zoom lock switch allows to ensure your zoom stays right where you want it, preventing “lens creep”.

<strong>Smooth Autofocus Motor (SAM)</strong>
The Smooth AF Motor (SAM) has a rapid start and stop response that sends signals from the AF controls to the camera body using a micro-motor instead of the traditional AF drive-screw, resulting in quick and accurate AF response.

<strong>Minimum Aperture Range: f/32</strong>
The minimum f/32 aperture range helps you capture images in poor conditions by maximizing shutter speeds with lower ISO sensitivity.

<strong>Effective Focal Length</strong>
The focal lengths of 28-75mm and 42-112.5mm ensure high convergence and divergence from the front and rear principal plans, providing excellent angles of view.

<u><strong>Product Highlights</strong></u>
• Compatible with Sony Digital SLR cameras
• Weight: 20 ounces
• 4x Aspherical Glass Lens Elements
• 7x Circular Aperture Diaphragm
• Fixed Filter Diameter: 67mm
• Zoom Lock Switch
• Smooth Autofocus Motor (SAM)
• Minimum Aperture Range: f/32
• Minimum Focus Distance:  16”
• Lens Construction: 16 elements in 14 groups
• Effective Focal Length:
&nbsp;&nbsp;&nbsp;28-75mm full-frame digital cameras
&nbsp;&nbsp;&nbsp;42-112.5mm with APS-C cameras"
6495937;Sony   35mm f/1.4G Wide Angle Prime Lens;Sony 35mm f/1.4G Wide Angle Prime Lens;"Product Overview

This lens features dynamic aperture settings that help your images capture as much light as it needs when the environment your are shooting in is dark. The aperture settings also help to make the most out of using blur effects to put a unique focus on your subject. It is a wide angle lens with a fixed zoom used in conjunction with Alpha & Minolta Maxxum cameras. The quality of the images is heightened by the use of multiple pieces of aspherical glass to give each shot as much detail as possible. Also, this lens can use manual and auto focus.

Highlights
<ul>
<li>Wide angle prime lens</li>
<li>Dynamic aperture settings</li>
<li>Uses aspherical glass</li>
<li>Made for Sony's Alpha & Minolta Maxxum cameras</li>
</ul>"
6495941;Sony   55-200mm f/4.0-5.6 DT Alpha A-Mount Telephoto Zoom Lens;Sony 55-200mm f/4.0-5.6 DT Alpha A-Mount Telephoto Zoom Lens;"Product Overview

The power of this lens varies from standard zoom up to telephoto zoom. Along with the increasing zoom, the aperture will go from f/4 to f/5.6. Plus, the aperture system uses circular blades for great spotlight effects. It is made by Sony, and it is meant to hookup with cameras in their Alpha & Minolta digital series. To get explicitly authentic photos, it applies the use of extra low dispersion glass. In addition, it keeps the image clear when you are zoomed up close by taking advantage of the image stabilization action that is featured in this series of camera.

Highlights
<ul>
<li>Telephoto zoom lens</li>
<li>Aperture size is variable</li>
<li>Utilizes the cameras built-in image stabilization</li>
<li>Glass is made of extra low dispersion pieces</li>
</ul>"
6707357;Sony   NEX-FS700U Super 35 Camcorder (Body Only);Sony NEX-FS700U Super 35 Camcorder (Body Only);"Product Overview

The Sony NEX-FS700U Super 35 is a professional camcorder. It uses a Super 35 complementary metal-oxide semiconductor image sensor, and it uses horizontal 4K resolution. This makes it a digital camcorder, with a high level of quality.

This digital Sony camcorder is closely related to matching the imaging area of film cameras used for shooting big budget movies. Also, this device can work with film style lenses. With a big sensor, it lets you take control of the depth of field. It is more sensitive when the lighting is low, and it boasts a dynamic range.

It can record high definition video, supporting its standard frame rate at up to 60 frames per second. When shooting, it uses the Advanced Video Coding High Definition format. It can be saved on an SD card, or be transported through the flash memory unit port and HDMI for use on other devices. The recordings can be saved in multiple ways to make sure you have your content backed up.

Attached to the camera is a shotgun microphone to help capture the correct audio, while eliminating any background noise it picks up. Also, it can capture 960 frames per second for slow motion video for a few seconds. The duration depends on the frame rate. The high quality resolution can be maintained at 240 fps, but it will be lowered for 480 and 960 frames per second.

In addition, it has a 3.5 inch LCD screen and a handle to make it easy to hold onto. All together, it is a great professional choice for making independent films, advertisements, and promotional material for business and education purposes.
 
Highlights
<ul>
<li>35mm sensor</li>
<li>4k resolution sensor</li>
<li>Able to attach film style lenses to it</li>
<li>Records high definition video</li>
<li>Uses AVCHD format</li>
<li>Equipped with a 3.5 inch LCD screen, shotgun microphone, and a handle</li>
</ul>"
6707533;Sony   HXR-MC2000U Shoulder Mount AVCHD Camcorder;Sony HXR-MC2000U Shoulder Mount AVCHD Camcorder;"Product Overview

This professional looking and performing Sony AVCHD camcorder has a wide angle lens that will help bring you into the next generation of video recording. It uses the high definition AVCHD format, while it captures 1080i high definition video. Also, it can internally store several hours of footage before it gets full on its 64 GB hard drive. Its 1/4"" Exmor R CMOS sensor helps achieve clear and bright footage in any conditions. The lens has 12x magnification with a focal length that reaches 29.8 mm. 

It takes care of shakiness with a three way shake control feature that provides image stabilization., and has a small, high quality 2.7 inch LCD touch screen monitor. In addition, it is very portable as it weighs less than six pounds, and the rechargeable battery can last up to 13 hours when recording at 17 Mbps 

Highlights
<ul>
<li>1/4"" Exmor R CMOS sensor</li>
<li>Wide angle lens with 12x magnification</li>
<li>AVCHD format</li>
<li>64 GB internal hard driver</li>
<li>Weighs 5.9 pounds</li>
<li>2.7 inch LCD touch screen monitor</li>
</ul>"
6707557;Sony   Cyber-shot DSC-W530 Digital Camera (Black);Sony Cyber-shot DSC-W530 Digital Camera (Black);"Product Overview

The portable Sony Cyber shot digital camera is great for all purposes. It features high resolution for superior images with the help of a 4x magnification wide angle zoom lens. It can also be used for close up shots for portraits and shots in nature. You will want it with you wherever you go, and that will not be a problem as it is less than 4 inches long and weighs a little under 4 ounces.

To check on every shot, the Sony Cyber shot has a small LCD screen on the back. Also, it has other features such as being able to capture video, a panoramic shot function, and a stabilization system for when you are taking close ups or are shooting in low light environments. Two other unique functions are shutter features that snap as soon as someone smiles or whenever eyes are open. Then, the camera is able to remove any unwanted marks on faces as soon as it processes the image. This is all done automatically.

Highlights
<ul>
<li>14.1MP high resolution</li>
<li>2.7 inch LCD screen</li>
<li>Wide angle zoom lens</li>
<li>4x magnification</li>
<li>Panoramic shooting mode</li>
<li>Modes for capturing smiles and making sure eyes are open</li>
<li>Automatically can touch up unwanted marks on faces</li>
<li>Can adjust settings by recognizing environments</li>
</ul>"
